Question,OptionA,OptionB,OptionC,OptionD,CorrectOption
What is a dividend?, (A.)Share profit, (B.) Loan, (C.) Tax, (D.) Debt, A
What is market research used for?, (A.) Pricing, (B.) Customers , (C.) Marketing , (D.) All, D
What is an example of a short-term source of finance?, (A.) Mortgage, (B.) Debentures, (C.) Overdraft, (D.) Share Capital, C
What is a method of primary market research?, (A.) Internet Research, (B.) Surveys, (C.)  Government reports, (D.) Newspapers, B
What is a liability?, (A.) Cash, (B.) Equipment, (C.) Debt, (D.) Stock, C
What is the function of HR?, (A.) Hiring, (B.) Marketing, (C.) Finance, (D.) Products, A
Which business structure has limited liability?, (A.) Sole trader, (B.) Partnership, (C.)Corporation, (D.) Franchise, C
What is liquidity?, (A.) Profits, (B.) Cash Flow, (C.) Assets, (D.) Stock Value, B
What does S in SWOT stand for?, (A.) Strengths, (B.) Sales, (C.) Tactics, (D.) Workers, A
What is the break-even point?, (A.) Profit, (B.) Low costs, (C.) High Sales, (D.) No loss, D
What is a merger?, (A.) Loan, (B.) Partnership, (C.) Joining, (D.) Closing, C
What does USP stand for?, (A.) Unique, (B.) Unit, (C.) Utility, (D.) Uniform, A
What is a franchise?, (A.) Policy, (B.) Loan, (C.) Ownership, (D.) Marketing, C
Why advertise?, (A.) Lower costs, (B.) Demand, (C.) Quality, (D.) Training, B
Who is a stakeholder?, (A.) Owners, (B.) Anyone, (C.) Employees, (D.) Government, B
Why have a business plan?, (A.) Finance, (B.) Goals, (C.) Risks, (D.) All, D
What does GDP measure?, (A.) Inflation, (B.) Prices , (C.) Jobs, (D.) Growth, D
Which tax is on profits?, (A.) Income, (B.) Corporation, (C.) VAT, (D.) Sales, B
What is branding?, (A.) Pricing, (B.) Identity, (C.) Reputation, (D.) Bulk Selling, C
What is the primary goal of a business?, (A.) Reduce Costs, (B.) Maximize profit, (C.) Expand, (D.) Employee staisfaction, B



