Question,OptionA,OptionB,OptionC,OptionD,CorrectOption
What is the main goal of most businesses?,(A.) Help Society, (B.) Make Profit, (C.)Reduce Costs, (D.) Gain publicity, B
Which is a fixed cost?, (A.)Rent ,(B.)Wages ,(C.)Raw Materials ,(D.)Electricity, A
What is market segmentation?, (A.)Setting prices, (B.)Splitting a market, (C.)Hiring staff, (D.)Increasing sales,B
Which is a long-term source of finance, (A.)Bank overdraft, (B.)Trade credit, (C.)Bank loan, (D.)Buying stock, C
What is automation?, (A.)Robots, (B.)Tools, (C.)people, (D.)Cars, A
Target market is..., (A.)Buyers, (B.)Sellers, (C.)Staff, (D.)Owners, A
What is net profit?, (A.)Revenue, (B.)Sales-costs, (C.)Costs, (D.)Price, B
What is the purpose of market research?, (A.)Feedback, (B.)Pay, (C.)Design, (D.)Budget, A
Variable cost example?, (A.)Rent, (B.)Loan, (C.)Tax, (D.)Stock, D
Why have a business plan?, (A.) Finance, (B.) Goals, (C.) Risks, (D.) All, D

